Designator,Mid X,Mid Y,Rotation,Layer
C1,1.12,3.19,180.0,bottom
C10,2.18,1.29,270.0,bottom
C11,1.26,1.47,270.0,bottom
C12,1.25,-0.36,90.0,bottom
C13,-1.05,-2.19,180.0,bottom
C14,-1.04,-1.27,180.0,bottom
C15,-1.04,-0.35,180.0,bottom
C16,-15.265,3.98,180.0,top
C17,-15.73,-1.6,0.0,top
C18,-15.0,2.0,90.0,bottom
C19,-12.34,2.53,0.0,bottom
C2,-0.82,2.34,90.0,bottom
C20,2.75,-1.55,180.0,bottom
C21,-2.425,1.29,270.0,bottom
C22,-18.03,3.775,270.0,top
C23,-18.035,6.73,270.0,top
C24,-10.5,7.5,180.0,bottom
C25,-10.58,5.76,180.0,bottom
C26,-4.51,-3.16,270.0,bottom
C27,-2.87,-1.94,0.0,bottom
C28,-2.42,-3.31,270.0,bottom
C29,-16.5,-7.6,180.0,top
C3,-20.25,7.45,180.0,top
C30,-16.5,-6.68,180.0,top
C31,-18.43,-6.25,270.0,top
C32,-19.35,-6.25,270.0,top
C33,-20.27,-6.25,270.0,top
C34,-21.19,-6.25,270.0,top
C35,-22.11,-6.25,270.0,top
C36,-23.03,-6.25,270.0,top
C37,-29.85,-4.475,180.0,top
C38,-18.525,-11.65,0.0,bottom
C39,29.37,-3.79,0.0,bottom
C4,-20.9,0.18,180.0,top
C40,18.55,-6.41,0.0,bottom
C41,15.9,-8.45,180.0,bottom
C42,11.95,-5.675,180.0,bottom
C43,11.925,-6.875,180.0,bottom
C44,19.06,7.28,0.0,top
C45,-1.995,4.03,180.0,bottom
C46,-2.2,2.84,180.0,bottom
C47,-29.21,3.33,90.0,bottom
C48,2.53,-2.47,180.0,bottom
C49,4.925,-2.75,180.0,bottom
C5,-20.9,-1.35,180.0,top
C50,4.92,-1.56,180.0,bottom
C51,3.56,2.84,180.0,bottom
C52,0.2,1.54,270.0,bottom
C6,-19.0,2.25,90.0,bottom
C7,-0.31,-3.38,180.0,bottom
C8,3.19,-0.35,180.0,bottom
C9,4.125,1.65,180.0,bottom
D1,16.4175,-7.49,0.0,top
D2,22.36,-7.49,0.0,top
D3,25.36,-7.49,0.0,top
D4,19.3725,-7.51,0.0,top
D5,28.35,-7.5,0.0,top
D6,-13.7375,-8.38,0.0,top
FB1,-12.62,0.95,180.0,bottom
J2,-21.6,-9.6,0.0,top
J3,-6.0,-13.0,0.0,top
J4,19.0,-13.0,0.0,top
J5,6.5,-13.0,0.0,top
J6,-31.48,2.175,270.0,top
L1,-20.67,1.77,0.0,top
L2,-18.06,0.55,270.0,top
L3,-16.455,6.46,90.0,top
R1,16.56,-7.52,180.0,bottom
R10,-13.75,7.5,270.0,bottom
R11,-12.81,6.47,270.0,bottom
R12,-23.96,-6.25,90.0,top
R13,-25.175,-6.25,90.0,top
R14,-26.125,-6.25,90.0,top
R15,-28.0,-4.475,180.0,top
R16,-28.96,-7.95,180.0,top
R17,-27.1,-7.95,0.0,top
R18,-32.75,-7.65,0.0,top
R19,-32.75,-6.69,0.0,top
R2,22.86,-7.43,180.0,bottom
R20,-6.67,-9.34,180.0,bottom
R21,-4.81,-9.34,180.0,bottom
R22,-7.15,-1.29,270.0,bottom
R23,-5.71,-3.22,90.0,bottom
R24,0.3,-4.6,0.0,bottom
R25,-11.175,-10.515,90.0,bottom
R26,18.52,-10.27,270.0,bottom
R27,19.46,-10.27,90.0,bottom
R28,-11.79,-8.4,90.0,top
R29,5.94325,-9.29,180.0,bottom
R3,25.4,-7.49,180.0,bottom
R30,7.8,-9.29,180.0,bottom
R31,-4.29,0.15,180.0,bottom
R32,-5.76,1.1,0.0,bottom
R33,-6.15,0.14,0.0,bottom
R34,-9.54,-1.44,90.0,bottom
R35,-3.9,1.25,180.0,bottom
R36,-4.32,-0.81,0.0,bottom
R37,-2.42,-0.55,90.0,bottom
R38,-8.09,-1.29,270.0,bottom
R39,1.975,-7.075,270.0,bottom
R4,19.68,-7.46,180.0,bottom
R40,2.925,-7.075,270.0,bottom
R41,-0.7,-10.335,270.0,bottom
R42,0.25,-10.325,270.0,bottom
R5,28.45,-7.5,180.0,bottom
R6,-21.4,1.55,0.0,bottom
R7,-23.3,1.55,0.0,bottom
R8,-18.15,-1.67,180.0,top
R9,-17.2,-1.69,270.0,bottom
SW1,11.7,3.6,270.0,bottom
SW2,11.7,0.29,270.0,bottom
U1,0.0,0.0,270.0,top
U10,19.5,0.0,90.0,top
U11,-10.91,0.15,180.0,top
U2,-20.46,4.6625,270.0,top
U3,-15.51,1.1825,90.0,top
U4,-13.56,6.5075,180.0,top
U5,-29.5,-6.225,180.0,top
U6,-13.32,-11.93,180.0,top
U7,-4.9775,-11.3375,90.0,bottom
U8,12.782291,-12.680475,90.0,top
U9,0.4675,-11.4325,90.0,top
Y1,-9.75,6.7,0.0,top
