"Reference","Value","Qty","LCSC Part #","Manufactuer Part Number","Exclude from BOM","LCSC Link"
"C1,C3,C7,C11,C12,C13,C14,C15,C16,C19,C21,C22,C25,C27,C28,C38,C39,C40,C41,C43,C44,C46,C48,C50,C51,C52","100nF","26","C307331","CL05B104KB54PNC","","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.html"
"C2,C8,C9,C10,C20,C24,C26,C42,C45,C47,C49","10uF","11","C19702","CL10A106KP8NNNC","","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.html"
"C4,C5,C6,C17,C18,C23","22uF","6","C59461","CL10A226MQ8NRNC","","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL10A226MQ8NRNC_C59461.html"
"C29,C30,C31,C32,C33,C34,C35,C36","22nF","8","C1532","0402B223K500NT","","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-0402B223K500NT_C1532.html"
"C37","100pF","1","C1546","0402CG101J500NT","","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-0402CG101J500NT_C1546.html"
"D1,D2,D3,D4,D5","WHITE","5","C2290","KT-0603W","","https://lcsc.com/product-detail/LED-Indication-Discrete_Hubei-KENTO-Elec-KT-0603W_C2290.html"
"D6,D7,D9,D10,D11,D12,D13,D14","1N914WT","8","C2836064","1N914WT","","https://lcsc.com/product-detail/Switching-Diodes_CBI-1N914WT_C2836064.html"
"D8","RED","1","C2286","KT-0603R","","https://lcsc.com/product-detail/LED-Indication-Discrete_Hubei-KENTO-Elec-KT-0603R_C2286.html"
"FB1","100R@100MHz","1","C74480","CBG201209U101T","","https://lcsc.com/product-detail/Ferrite-Beads_FH-CBG201209U101T_C74480.html"
"H1,H2,H3,H4","MountingHole","4","","","Excluded from BOM",""
"J1","Conn_02x20_Counter_Clockwise","1","","","Excluded from BOM",""
